Phone Number,Messages,Phone Calls
330-555-0592,4,5
330-555-0593,15,3
330-555-0594,9,6
330-555-0595,12,2
330-555-0596,20,0
330-555-0597,7,3
330-555-0598,3,4
330-555-0599,9,4
330-555-0600,4,8
330-555-0601,18,1
330-555-0602,16,0
330-555-0603,9,10
330-555-0604,1,6
330-555-0605,17,10
330-555-0606,16,10
330-555-0607,15,8
330-555-0608,8,3
330-555-0609,16,9
330-555-0610,16,3
330-555-0611,4,9
330-555-0612,20,9
330-555-0613,19,4
330-555-0614,15,0
330-555-0615,17,2
330-555-0616,0,10
330-555-0617,5,1
330-555-0618,14,2
330-555-0619,12,7
330-555-0620,6,1
330-555-0621,1,1
330-555-0622,7,1
330-555-0623,20,1
330-555-0624,14,4
330-555-0625,1,4
330-555-0626,11,7
330-555-0627,0,0
330-555-0628,12,5
330-555-0629,8,3
330-555-0630,7,0
330-555-0631,3,5
330-555-0632,13,5
330-555-0633,20,8
330-555-0634,6,9
330-555-0635,8,3
330-555-0636,5,9
330-555-0637,6,9
330-555-0638,17,8
330-555-0639,10,2
330-555-0640,6,6
330-555-0641,3,7
330-555-0642,10,5
330-555-0643,13,3
330-555-0644,3,8
330-555-0645,14,4
330-555-0646,14,3
330-555-0647,6,6
330-555-0648,19,1
330-555-0649,0,3
330-555-0650,1,8
330-555-0651,5,2
330-555-0652,13,9
330-555-0653,15,3
330-555-0654,7,2
330-555-0655,1,5
330-555-0656,9,7
330-555-0657,10,3
330-555-0658,3,8
330-555-0659,1,7
330-555-0660,3,4
330-555-0661,13,4
330-555-0662,0,6
330-555-0663,2,4
330-555-0664,0,9
330-555-0665,4,9
330-555-0666,18,7
330-555-0667,16,9
330-555-0668,14,6
330-555-0669,8,2
330-555-0670,17,4
330-555-0671,7,6
330-555-0672,11,10
330-555-0673,19,2
330-555-0674,8,9
330-555-0675,8,0
330-555-0676,13,2
330-555-0677,1,6
330-555-0678,19,10
330-555-0679,12,5
330-555-0680,15,7
330-555-0681,17,1
330-555-0682,19,8
330-555-0683,17,8
330-555-0684,2,10
330-555-0685,14,1
330-555-0686,0,0
330-555-0687,2,9
330-555-0688,3,6
330-555-0689,3,3
330-555-0690,14,2
330-555-0691,12,3
330-555-0692,3,5
330-555-0693,17,8
330-555-0694,13,9
330-555-0695,14,9
330-555-0696,9,10
330-555-0697,3,6
330-555-0698,8,0
330-555-0699,19,3
330-555-0700,2,10
330-555-0701,9,10
330-555-0702,20,8
330-555-0703,1,4
330-555-0704,16,6
330-555-0705,7,8
330-555-0706,1,2
330-555-0707,0,7
330-555-0708,19,1
330-555-0709,18,1
330-555-0710,5,3
330-555-0711,1,9
330-555-0712,13,7
330-555-0713,2,0
330-555-0714,10,1
330-555-0715,19,8
330-555-0716,19,6
330-555-0717,14,7
330-555-0718,15,1
330-555-0719,1,4
330-555-0720,9,7
330-555-0721,3,3
330-555-0722,7,1
330-555-0723,16,6
330-555-0724,15,8
330-555-0725,15,1
330-555-0726,18,10
330-555-0727,20,5
330-555-0728,8,5
330-555-0729,10,0
330-555-0730,18,4
330-555-0731,8,1
330-555-0732,8,5
330-555-0733,7,3
330-555-0734,9,3
330-555-0735,5,4
330-555-0736,16,1
330-555-0737,16,0
330-555-0738,18,8
330-555-0739,14,10
330-555-0740,9,0
330-555-0741,10,9
330-555-0742,2,0
330-555-0743,12,1
330-555-0744,10,7
330-555-0745,16,9
330-555-0746,3,1
330-555-0747,5,0
330-555-0748,4,1
330-555-0749,16,5
330-555-0750,16,6
330-555-0751,13,4
330-555-0752,17,0
330-555-0753,15,9
330-555-0754,12,2
330-555-0755,13,0
330-555-0756,8,5
330-555-0757,7,9
330-555-0758,15,9
330-555-0759,9,0
330-555-0760,2,6
330-555-0761,15,3
330-555-0762,20,6
330-555-0763,2,8
330-555-0764,0,10
330-555-0765,10,9
330-555-0766,3,0
330-555-0767,6,4
330-555-0768,6,7
330-555-0769,16,3
330-555-0770,9,7
330-555-0771,10,1
330-555-0772,8,6
330-555-0773,1,8
330-555-0774,6,10
330-555-0775,15,8
330-555-0776,7,10
330-555-0777,10,10
330-555-0778,8,4
330-555-0779,8,0
330-555-0780,9,9
330-555-0781,3,1
330-555-0782,20,10
330-555-0783,8,1
330-555-0784,1,1
330-555-0785,17,3
330-555-0786,8,5
330-555-0787,9,4
330-555-0788,19,6
330-555-0789,7,6
330-555-0790,13,8
330-555-0791,3,1
330-555-0792,5,8
330-555-0793,9,7
330-555-0794,15,1
330-555-0795,0,4
330-555-0796,3,9
330-555-0797,7,7
330-555-0798,18,3
330-555-0799,14,9
330-555-0800,10,8
330-555-0801,20,0
330-555-0802,11,8
330-555-0803,19,4
330-555-0804,5,7
330-555-0805,0,8
330-555-0806,6,4
330-555-0807,20,1
330-555-0808,4,7
330-555-0809,18,2
330-555-0810,12,5
330-555-0811,11,9
330-555-0812,3,8
330-555-0813,12,10
330-555-0814,15,8
330-555-0815,15,5
330-555-0816,17,3
330-555-0817,5,10
330-555-0818,16,7
330-555-0819,5,3
330-555-0820,8,8
330-555-0821,3,3
330-555-0822,1,0
330-555-0823,20,3
330-555-0824,15,6
330-555-0825,17,2
330-555-0826,16,2
330-555-0827,12,0
330-555-0828,2,3
330-555-0829,18,8
330-555-0830,18,5
330-555-0831,16,3
330-555-0832,17,1
330-555-0833,7,5
330-555-0834,9,4
330-555-0835,8,8
330-555-0836,20,0
330-555-0837,5,6
330-555-0838,0,8
330-555-0839,17,7
330-555-0840,9,2
330-555-0841,20,6
330-555-0842,7,5
330-555-0843,20,10
330-555-0844,1,8
330-555-0845,5,3
330-555-0846,18,1
330-555-0847,20,4
330-555-0848,16,8
330-555-0849,2,2
330-555-0850,18,2
330-555-0851,5,8
330-555-0852,12,8
330-555-0853,20,2
330-555-0854,9,4
330-555-0855,14,9
330-555-0856,6,4
330-555-0857,6,0
330-555-0858,13,8
330-555-0859,8,3
330-555-0860,5,1
330-555-0861,14,8
330-555-0862,7,0
330-555-0863,12,1
330-555-0864,1,4
330-555-0865,14,10
330-555-0866,11,6
330-555-0867,9,1
330-555-0868,18,0
330-555-0869,4,8
330-555-0870,6,10
330-555-0871,9,9
330-555-0872,8,1
330-555-0873,18,2
330-555-0874,16,4
330-555-0875,15,2
330-555-0876,5,2
330-555-0877,2,8
330-555-0878,1,2
330-555-0879,19,3
330-555-0880,1,10
330-555-0881,4,6
330-555-0882,18,9
330-555-0883,6,4
330-555-0884,17,7
330-555-0885,20,8
330-555-0886,0,5
330-555-0887,6,5
330-555-0888,18,7
330-555-0889,7,7
330-555-0890,4,1
330-555-0891,11,9
330-555-0892,11,5
330-555-0893,11,10
330-555-0894,17,10
330-555-0895,20,5
330-555-0896,14,7
330-555-0897,8,3
330-555-0898,3,7
330-555-0899,12,0
330-555-0900,15,4
330-555-0901,13,8
330-555-0902,0,5
330-555-0903,10,5
330-555-0904,12,3
330-555-0905,10,0
330-555-0906,9,1
330-555-0907,20,6
330-555-0908,2,7
330-555-0909,17,4
330-555-0910,4,8
330-555-0911,15,7
330-555-0912,16,6
330-555-0913,2,0
330-555-0914,20,8
330-555-0915,4,8
330-555-0916,15,5
330-555-0917,4,8
330-555-0918,20,6
330-555-0919,7,8
330-555-0920,4,0
330-555-0921,14,9
330-555-0922,3,7
330-555-0923,0,9
330-555-0924,15,10
330-555-0925,3,3
330-555-0926,16,8
330-555-0927,1,2
330-555-0928,8,8
330-555-0929,18,3
330-555-0930,13,9
330-555-0931,16,8
330-555-0932,18,4
330-555-0933,18,4
330-555-0934,6,10
330-555-0935,17,3
330-555-0936,10,0
330-555-0937,13,0
330-555-0938,4,10
330-555-0939,1,2
330-555-0940,17,0
330-555-0941,9,8
330-555-0942,10,9
330-555-0943,10,3
330-555-0944,11,3
330-555-0945,12,7
330-555-0946,8,0
330-555-0947,19,1
330-555-0948,20,9
330-555-0949,4,4
330-555-0950,10,3
330-555-0951,20,2
330-555-0952,12,4
330-555-0953,10,1
330-555-0954,16,6
330-555-0955,11,9
330-555-0956,18,3
330-555-0957,9,10
330-555-0958,5,1
330-555-0959,0,7
330-555-0960,14,2
330-555-0961,2,8
330-555-0962,18,0
330-555-0963,19,0
330-555-0964,12,7
330-555-0965,19,9
330-555-0966,1,9
330-555-0967,15,10
330-555-0968,18,7
330-555-0969,2,7
330-555-0970,12,10
330-555-0971,15,10
330-555-0972,4,7
330-555-0973,10,2
330-555-0974,11,0
330-555-0975,8,1
330-555-0976,17,1
330-555-0977,16,9
330-555-0978,16,7
330-555-0979,13,7
330-555-0980,0,9
330-555-0981,8,4
330-555-0982,17,7
330-555-0983,4,2
330-555-0984,12,2
330-555-0985,19,10
330-555-0986,1,5
330-555-0987,12,10
330-555-0988,8,7
330-555-0989,3,4
330-555-0990,10,3
330-555-0991,14,0
330-555-0992,10,9
330-555-0993,9,8
330-555-0994,16,7
330-555-0995,5,7
330-555-0996,6,1
330-555-0997,15,10
330-555-0998,2,0
330-555-0999,9,7
330-555-1000,4,8
330-555-1001,9,3
330-555-1002,5,8
330-555-1003,17,5
330-555-1004,7,9
330-555-1005,1,9
330-555-1006,20,3
330-555-1007,11,9
330-555-1008,9,7
330-555-1009,9,0
330-555-1010,11,2
330-555-1011,16,2
330-555-1012,20,1
330-555-1013,0,3
330-555-1014,14,4
330-555-1015,0,3
330-555-1016,12,8
330-555-1017,19,5
330-555-1018,10,10
330-555-1019,14,7
330-555-1020,19,1
330-555-1021,12,7
330-555-1022,1,2
330-555-1023,11,2
330-555-1024,3,0
330-555-1025,18,7
330-555-1026,14,10
330-555-1027,4,2
330-555-1028,4,2
330-555-1029,7,2
330-555-1030,5,1
330-555-1031,11,5
330-555-1032,4,2
330-555-1033,20,8
330-555-1034,10,4
330-555-1035,20,0
330-555-1036,3,8
330-555-1037,19,10
330-555-1038,11,1
330-555-1039,3,3
330-555-1040,18,4
330-555-1041,19,7
330-555-1042,11,4
330-555-1043,13,10
330-555-1044,12,9
330-555-1045,10,1
330-555-1046,14,4
330-555-1047,17,2
330-555-1048,20,0
330-555-1049,15,6
330-555-1050,14,0
330-555-1051,8,6
330-555-1052,16,10
330-555-1053,18,6
330-555-1054,1,4
330-555-1055,13,9
330-555-1056,10,2
330-555-1057,9,3
330-555-1058,14,1
330-555-1059,14,4
330-555-1060,4,2
330-555-1061,11,3
330-555-1062,0,1
330-555-1063,4,3
330-555-1064,14,3
330-555-1065,2,10
330-555-1066,17,6
330-555-1067,6,3
330-555-1068,9,10
330-555-1069,4,1
330-555-1070,17,7
330-555-1071,11,4
330-555-1072,6,4
330-555-1073,16,5
330-555-1074,18,5
330-555-1075,14,7
330-555-1076,10,2
330-555-1077,0,1
330-555-1078,18,1
330-555-1079,20,2
330-555-1080,6,1
330-555-1081,19,8
330-555-1082,3,4
330-555-1083,12,5
330-555-1084,8,9
330-555-1085,8,10
330-555-1086,13,9
330-555-1087,7,8
330-555-1088,7,3
330-555-1089,8,0
330-555-1090,5,4
330-555-1091,2,4
330-555-1092,0,2
330-555-1093,8,3
330-555-1094,2,6
330-555-1095,13,7
330-555-1096,15,0
330-555-1097,19,5
330-555-1098,9,5
330-555-1099,9,10
330-555-1100,18,5
330-555-1101,2,1
330-555-1102,14,5
330-555-1103,7,2
330-555-1104,20,9
330-555-1105,15,3
330-555-1106,12,5
330-555-1107,5,0
330-555-1108,14,9
330-555-1109,7,9
330-555-1110,7,8
330-555-1111,15,4
330-555-1112,12,1
330-555-1113,16,10
330-555-1114,13,7
330-555-1115,2,1
330-555-1116,7,4
330-555-1117,20,6
330-555-1118,18,2
330-555-1119,19,5
330-555-1120,10,3
330-555-1121,1,0
330-555-1122,3,10
330-555-1123,20,1
330-555-1124,8,9
330-555-1125,7,5
330-555-1126,10,10
330-555-1127,13,5
330-555-1128,10,2
330-555-1129,11,4
330-555-1130,1,8
330-555-1131,15,7
330-555-1132,20,10
330-555-1133,2,6
330-555-1134,1,0
330-555-1135,15,10
330-555-1136,5,6
330-555-1137,16,9
330-555-1138,6,3
330-555-1139,9,4
330-555-1140,17,2
330-555-1141,12,9
330-555-1142,8,10
330-555-1143,2,1
330-555-1144,7,2
330-555-1145,0,7
330-555-1146,17,1
330-555-1147,7,2
330-555-1148,8,6
330-555-1149,1,1
330-555-1150,0,4
330-555-1151,9,1
330-555-1152,19,8
330-555-1153,20,2
330-555-1154,12,7
330-555-1155,13,5
330-555-1156,2,9
330-555-1157,13,9
330-555-1158,12,3
330-555-1159,11,1
330-555-1160,20,8
330-555-1161,7,2
330-555-1162,4,4
330-555-1163,7,2
330-555-1164,4,2
330-555-1165,11,1
330-555-1166,10,5
330-555-1167,6,3
330-555-1168,19,1
330-555-1169,12,0
330-555-1170,13,7
330-555-1171,16,8
330-555-1172,17,9
330-555-1173,7,9
330-555-1174,20,6
330-555-1175,16,5
330-555-1176,7,9
330-555-1177,14,6
330-555-1178,4,6
330-555-1179,15,2
330-555-1180,19,10
330-555-1181,11,0
330-555-1182,12,6
330-555-1183,17,10
330-555-1184,8,6
330-555-1185,15,1
330-555-1186,18,7
330-555-1187,17,0
330-555-1188,16,5
330-555-1189,12,6
330-555-1190,1,1
330-555-1191,13,5
330-555-1192,2,7
330-555-1193,3,6
330-555-1194,1,1
330-555-1195,15,1
330-555-1196,9,0
330-555-1197,13,1
330-555-1198,14,8
330-555-1199,3,0
330-555-1200,12,6
330-555-1201,13,0
330-555-1202,13,10
330-555-1203,5,7
330-555-1204,0,8
330-555-1205,5,1
330-555-1206,12,3
330-555-1207,1,2
330-555-1208,5,7
330-555-1209,6,7
330-555-1210,12,4
330-555-1211,10,7
330-555-1212,16,10
330-555-1213,18,0
330-555-1214,19,5
330-555-1215,12,4
330-555-1216,0,0
330-555-1217,17,2
330-555-1218,8,0
330-555-1219,20,3
330-555-1220,9,8
330-555-1221,20,5
330-555-1222,4,3
330-555-1223,0,5
330-555-1224,14,6
330-555-1225,3,1
330-555-1226,2,10
330-555-1227,13,1
330-555-1228,11,6
330-555-1229,15,5
330-555-1230,16,2
330-555-1231,7,9
330-555-1232,6,10
330-555-1233,17,8
330-555-1234,19,7
330-555-1235,0,9
330-555-1236,3,8
330-555-1237,17,10
330-555-1238,13,3
330-555-1239,8,5
330-555-1240,20,4
330-555-1241,2,1
330-555-1242,15,4
330-555-1243,9,2
330-555-1244,8,9
330-555-1245,4,8
330-555-1246,9,2
330-555-1247,14,10
330-555-1248,19,2
330-555-1249,19,3
330-555-1250,1,10
330-555-1251,2,5
330-555-1252,19,8
330-555-1253,5,2
330-555-1254,5,7
330-555-1255,19,1
330-555-1256,0,3
330-555-1257,1,6
330-555-1258,11,5
330-555-1259,11,1
330-555-1260,15,7
330-555-1261,5,6
330-555-1262,17,9
330-555-1263,18,2
330-555-1264,18,0
330-555-1265,16,4
330-555-1266,10,2
330-555-1267,15,4
330-555-1268,0,2
